Subject ID,Trial ID,Windows Timestamp,Simulation Timestamp,Hypothesis,Hypothesis Callout,Hypothesis CalloutID,Transcribed Utterance,Transcribed Callout,Transcribed Callout ID,Confidence
30,1,20141212-140433-719,3.241,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9387106
30,1,20141212-140437-399,6.921,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.8291577
30,1,20141212-140441-602,11.124,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9127145
30,1,20141212-140446-984,16.506,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.7294086
30,1,20141212-140453-122,22.644,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.8666632
30,1,20141212-140457-839,27.361,five feet,5 ft,-1,five feet,5 ft,-1,0.8488083
30,1,20141212-140501-787,31.309,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.8994887
30,1,20141212-140507-759,37.281,...,0,-1,one seventy five feet,175 ft,10,1
30,1,20141212-140515-457,44.979,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9189342
30,1,20141212-140521-427,50.949,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.7212159
30,1,20141212-140523-149,52.671,...,0,-1,fuel five percent,5%,13,1
30,1,20141212-140528-509,58.031,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.6662672
30,1,20141212-140532-089,61.611,ten,10 ft,-1,,0,-1,0.7216285
30,1,20141212-140537-984,67.506,one ten feet,110 ft,16,one ten feet,110 ft,16,0.8198689
30,1,20141212-140544-612,74.134,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.7937905
30,1,20141212-140546-884,76.406,ninety feet,90 ft,-1,ninety feet,90 ft,-1,0.8823798
30,2,20141212-140605-606,3.429,one fifty feet,150 ft,11,four fifty feet,450 ft,1,0.8999317
30,2,20141212-140609-006,6.829,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.8226945
30,2,20141212-140613-141,10.964,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.7316478
30,2,20141212-140619-146,16.969,...,0,-1,fuel seven percent three hundred feet,"7 %, 300 ft","4, 5",1
30,2,20141212-140624-741,22.564,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9248465
30,2,20141212-140635-194,33.017,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.8964776
30,2,20141212-140639-351,37.174,...,0,-1,one seventy five feet,175 ft,10,1
30,2,20141212-140646-441,44.264,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9182147
30,2,20141212-140651-179,49.002,four percent fuel,4%,18,four percent one forty feet,"4 %, 140 ft","18, 12",0.6552107
30,2,20141212-140654-414,52.237,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.8966
30,2,20141212-140700-259,58.082,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.9065451
30,2,20141212-140706-679,64.502,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9436961
30,2,20141212-140711-289,69.112,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.906686
30,2,20141212-140713-936,71.759,ninety feet,90 ft,-1,ninety feet,90 ft,-1,0.8777049
30,2,20141212-140718-276,76.099,four hundred,400 ft,2,four one,41 ft,-1,0.6339577
30,3,20141212-140735-118,3.314,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.8916923
30,3,20141212-140738-751,6.947,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.8801641
30,3,20141212-140742-618,10.814,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.8052911
30,3,20141212-140758-511,26.707,five feet,5 ft,-1,five feet,5 ft,-1,0.9209492
